File	SMILES	HOMO (Ha)	LUMO (Ha)	GAP (eV)
Hc1cCNcOcFcOc1CC_opt.log	c1c(C#N)c(O)c(F)c(O)c1(C=C)	-0.2395	-0.03862	5.466226032000001
Hc1cFcCcFcCc1CO_opt.log	c1c(F)c(C)c(F)c(C)c1(C=O)	-0.26732	-0.07141	5.330985374
Hc1cFcFcCOcCOc1CC_opt.log	c1c(F)c(F)c(C=O)c(C=O)c1(C=C)	-0.26726	-0.09858	4.590018952
Hc1cFcCcNOO-cCOc1CC_opt.log	c1c(F)c(C)c(N(=O)(=O))c(C=O)c1(C=C)	-0.26967	-0.11034	4.335592362000001
Hc1cOcNOO-cNcCOc1CN_opt.log	c1c(O)c(N(=O)(=O))c(N)c(C=O)c1(C#N)	-0.25884	-0.10893	4.079260974
Hc1cCCcCCcOcCCc1CC_opt.log	c1c(C=C)c(C=C)c(O)c(C=C)c1(C=C)	-0.21822	-0.03024	5.115198972000001
Hc1cFcHcFcCCc1F_opt.log	c1c(F)cc(F)c(C=C)c1(F)	-0.24774	-0.03214	5.86677784
Hc1cFcHcCOcHc1CN_opt.log	c1c(F)cc(C=O)cc1(C#N)	-0.29254	-0.09258	5.441191544000001
Hc1cCNcNOO-cCCcCCc1CC_opt.log	c1c(C#N)c(N(=O)(=O))c(C=C)c(C=C)c1(C=C)	-0.26261	-0.10326	4.33613659
Hc1cCNcNcCcCOc1CC_opt.log	c1c(C#N)c(N)c(C)c(C=O)c1(C=C)	-0.22082	-0.07347	4.009599789999999
Hc1cFcCNcCOcNOO-c1CN_opt.log	c1c(F)c(C#N)c(C=O)c(N(=O)(=O))c1(C#N)	-0.30555	-0.14449	4.382668084
Hc1cFcNcCOcOc1NOO-_opt.log	c1c(F)c(N)c(C=O)c(O)c1(N(=O)(=O))	-0.24787	-0.08799	4.350558632000001
Hc1cFcCCcCOcOc1CC_opt.log	c1c(F)c(C=C)c(C=O)c(O)c1(C=C)	-0.2367	-0.06497	4.673013722
Hc1cOcNOO-cNcCOc1F_opt.log	c1c(O)c(N(=O)(=O))c(N)c(C=O)c1(F)	-0.24996	-0.09131	4.31708861
Hc1cFcHcNOO-cCOc1CN_opt.log	c1c(F)cc(N(=O)(=O))c(C=O)c1(C#N)	-0.28834	-0.13785	4.095043586
Hc1cCNcOcCOcHc1CC_opt.log	c1c(C#N)c(O)c(C=O)cc1(C=C)	-0.25193	-0.07932	4.696959754
Hc1cCCcOcCcCOc1NOO-_opt.log	c1c(C=C)c(O)c(C)c(C=O)c1(N(=O)(=O))	-0.25669	-0.10072	4.244162058
Hc1cFcCCcNcCCc1NOO-_opt.log	c1c(F)c(C=C)c(N)c(C=C)c1(N(=O)(=O))	-0.22547	-0.09481	3.555441524
Hc1cOcNOO-cFcCc1NOO-_opt.log	c1c(O)c(N(=O)(=O))c(F)c(C)c1(N(=O)(=O))	-0.282	-0.13515	3.9959940899999995
Hc1cFcCOcNcNOO-c1CN_opt.log	c1c(F)c(C=O)c(N)c(N(=O)(=O))c1(C#N)	-0.27106	-0.11899	4.138037598000001
Hc1cCCcFcCOcNc1NOO-_opt.log	c1c(C=C)c(F)c(C=O)c(N)c1(N(=O)(=O))	-0.2393	-0.1023	3.7279618000000005
Hc1cCNcCNcFcCc1CC_opt.log	c1c(C#N)c(C#N)c(F)c(C)c1(C=C)	-0.28033	-0.08251	5.382959148000001
Hc1cCCcCcCNcFc1NOO-_opt.log	c1c(C=C)c(C)c(C#N)c(F)c1(N(=O)(=O))	-0.28147	-0.11402	4.55654893
Hc1cFcNcNcCc1CN_opt.log	c1c(F)c(N)c(N)c(C)c1(C#N)	-0.20828	-0.01649	5.218874406
Hc1cFcOcNOO-cOc1CC_opt.log	c1c(F)c(O)c(N(=O)(=O))c(O)c1(C=C)	-0.23365	-0.0968	3.72388009
Hc1cCCcCCcNOO-cCOc1CO_opt.log	c1c(C=C)c(C=C)c(N(=O)(=O))c(C=O)c1(C=O)	-0.27268	-0.1069	4.511105892
Hc1cFcCOcNOO-cNc1CC_opt.log	c1c(F)c(C=O)c(N(=O)(=O))c(N)c1(C=C)	-0.24021	-0.09592	3.9263329060000003
Hc1cOcNOO-cCOcHc1CC_opt.log	c1c(O)c(N(=O)(=O))c(C=O)cc1(C=C)	-0.25899	-0.09709	4.4055256599999995
Hc1cFcOcFcCCc1F_opt.log	c1c(F)c(O)c(F)c(C=C)c1(F)	-0.23943	-0.03182	5.6493587540000005
Hc1cFcFcNOO-cCNc1NOO-_opt.log	c1c(F)c(F)c(N(=O)(=O))c(C#N)c1(N(=O)(=O))	-0.32645	-0.14946	4.8161456860000005
Hc1cFcNcCOcCOc1CC_opt.log	c1c(F)c(N)c(C=O)c(C=O)c1(C=C)	-0.22473	-0.06999	4.210692036
Hc1cFcCOcCcCc1CO_opt.log	c1c(F)c(C=O)c(C)c(C)c1(C=O)	-0.26744	-0.09135	4.791655426000001
Hc1cFcOcNcCOc1NOO-_opt.log	c1c(F)c(O)c(N)c(C=O)c1(N(=O)(=O))	-0.23604	-0.10582	3.543468508
Hc1cFcFcFcHc1NOO-_opt.log	c1c(F)c(F)c(F)cc1(N(=O)(=O))	-0.30571	-0.12223	4.992747671999999
Hc1cFcFcCcFc1NOO-_opt.log	c1c(F)c(F)c(C)c(F)c1(N(=O)(=O))	-0.29031	-0.11131	4.8708406
Hc1cFcCOcCcCCc1CO_opt.log	c1c(F)c(C=O)c(C)c(C=C)c1(C=O)	-0.26618	-0.09472	4.665666644000001
Hc1cFcOcOcCCc1CO_opt.log	c1c(F)c(O)c(O)c(C=C)c1(C=O)	-0.23539	-0.05494	4.91029713
Hc1cCCcCCcCNcCCc1CO_opt.log	c1c(C=C)c(C=C)c(C#N)c(C=C)c1(C=O)	-0.25535	-0.08218	4.712198138000001
Hc1cFcFcNOO-cNOO-c1CC_opt.log	c1c(F)c(F)c(N(=O)(=O))c(N(=O)(=O))c1(C=C)	-0.28972	-0.12864	4.3832123119999995
Hc1cCOcOcCCcCCc1CC_opt.log	c1c(C=O)c(O)c(C=C)c(C=C)c1(C=C)	-0.22837	-0.05315	4.767981508
Hc1cFcHcCOcCCc1CN_opt.log	c1c(F)cc(C=O)c(C=C)c1(C#N)	-0.27709	-0.09162	5.046898358000001
Hc1cFcCCcNOO-cNOO-c1CN_opt.log	c1c(F)c(C=C)c(N(=O)(=O))c(N(=O)(=O))c1(C#N)	-0.29701	-0.13205	4.488792544
Hc1cCCcOcNOO-cNOO-c1NOO-_opt.log	c1c(C=C)c(O)c(N(=O)(=O))c(N(=O)(=O))c1(N(=O)(=O))	-0.29738	-0.1356	4.402260291999999
Hc1cFcNOO-cNOO-cCOc1CN_opt.log	c1c(F)c(N(=O)(=O))c(N(=O)(=O))c(C=O)c1(C#N)	-0.30773	-0.15578	4.13477223
Hc1cFcCCcCcCOc1CO_opt.log	c1c(F)c(C=C)c(C)c(C=O)c1(C=O)	-0.25598	-0.08389	4.682809825999999
Hc1cFcOcNOO-cCOc1CC_opt.log	c1c(F)c(O)c(N(=O)(=O))c(C=O)c1(C=C)	-0.25752	-0.10718	4.090961876000001
Hc1cCCcCcCcCc1CO_opt.log	c1c(C=C)c(C)c(C)c(C)c1(C=O)	-0.24135	-0.05242	5.141049802
Hc1cFcCNcCcCCc1CC_opt.log	c1c(F)c(C#N)c(C)c(C=C)c1(C=C)	-0.25178	-0.05702	5.299692264
Hc1cCCcFcNcCc1NOO-_opt.log	c1c(C=C)c(F)c(N)c(C)c1(N(=O)(=O))	-0.22558	-0.09002	3.6887773840000007
Hc1cCNcFcCOcCCc1CC_opt.log	c1c(C#N)c(F)c(C=O)c(C=C)c1(C=C)	-0.26424	-0.087	4.822948535999999
Hc1cFcCcCcCc1F_opt.log	c1c(F)c(C)c(C)c(C)c1(F)	-0.24383	-0.00141	6.596587588
Hc1cOcNOO-cOcCNc1CC_opt.log	c1c(O)c(N(=O)(=O))c(O)c(C#N)c1(C=C)	-0.26893	-0.09195	4.815873572
Hc1cFcCOcOcOc1CN_opt.log	c1c(F)c(C=O)c(O)c(O)c1(C#N)	-0.25022	-0.09219	4.300217542
Hc1cCCcOcCNcCNc1NOO-_opt.log	c1c(C=C)c(O)c(C#N)c(C#N)c1(N(=O)(=O))	-0.29239	-0.12227	4.629203368
Hc1cFcNcOcCCc1NOO-_opt.log	c1c(F)c(N)c(O)c(C=C)c1(N(=O)(=O))	-0.22377	-0.0838	3.8087796579999997
Hc1cCCcCcCOcNOO-c1CO_opt.log	c1c(C=C)c(C)c(C=O)c(N(=O)(=O))c1(C=O)	-0.27516	-0.11617	4.326340486
Hc1cFcCCcCOcNc1CC_opt.log	c1c(F)c(C=C)c(C=O)c(N)c1(C=C)	-0.21022	-0.05595	4.197902678
Hc1cOcNOO-cFcCCc1CO_opt.log	c1c(O)c(N(=O)(=O))c(F)c(C=C)c1(C=O)	-0.2523	-0.1201	3.5973470800000014
Hc1cFcFcCNcHc1CN_opt.log	c1c(F)c(F)c(C#N)cc1(C#N)	-0.30556	-0.08846	5.907594940000001
Hc1cCCcHcNOO-cCNc1CO_opt.log	c1c(C=C)cc(N(=O)(=O))c(C#N)c1(C=O)	-0.28478	-0.12288	4.4055256599999995
Hc1cFcNcCOcCNc1F_opt.log	c1c(F)c(N)c(C=O)c(C#N)c1(F)	-0.24155	-0.08787	4.181847952
Hc1cFcNcNOO-cCCc1CO_opt.log	c1c(F)c(N)c(N(=O)(=O))c(C=C)c1(C=O)	-0.24236	-0.10103	3.8457871620000006
Hc1cCCcCCcNcNc1NOO-_opt.log	c1c(C=C)c(C=C)c(N)c(N)c1(N(=O)(=O))	-0.20658	-0.08084	3.4215614360000006
Hc1cFcNcNOO-cCOc1CN_opt.log	c1c(F)c(N)c(N(=O)(=O))c(C=O)c1(C#N)	-0.26512	-0.11354	4.1247040120000005
Hc1cFcHcFcFc1F_opt.log	c1c(F)cc(F)c(F)c1(F)	-0.27404	-0.02644	6.737542640000001
Hc1cFcCcCCcOc1CO_opt.log	c1c(F)c(C)c(C=C)c(O)c1(C=O)	-0.23357	-0.06154	4.681177142000001
Hc1cOcNOO-cFcNc1F_opt.log	c1c(O)c(N(=O)(=O))c(F)c(N)c1(F)	-0.2195	-0.09951	3.265095886
Hc1cCOcNcNcCOc1CC_opt.log	c1c(C=O)c(N)c(N)c(C=O)c1(C=C)	-0.20147	-0.07196	3.5241484140000003
Hc1cFcCOcCcNOO-c1CC_opt.log	c1c(F)c(C=O)c(C)c(N(=O)(=O))c1(C=C)	-0.27693	-0.09984	4.818866826000001
Hc1cCOcCcNOO-cOc1CC_opt.log	c1c(C=O)c(C)c(N(=O)(=O))c(O)c1(C=C)	-0.26476	-0.09023	4.749205642
Hc1cCCcNcNOO-cCOc1NOO-_opt.log	c1c(C=C)c(N)c(N(=O)(=O))c(C=O)c1(N(=O)(=O))	-0.26098	-0.12209	3.7793913459999997
Hc1cFcFcNcCCc1CO_opt.log	c1c(F)c(F)c(N)c(C=C)c1(C=O)	-0.22389	-0.06053	4.4452543040000005
Hc1cFcOcCcCCc1F_opt.log	c1c(F)c(O)c(C)c(C=C)c1(F)	-0.22904	-0.01961	5.698883502
Hc1cCCcCCcCOcCc1NOO-_opt.log	c1c(C=C)c(C=C)c(C=O)c(C)c1(N(=O)(=O))	-0.26007	-0.09981	4.360898964
Hc1cCNcNcNcCOc1CC_opt.log	c1c(C#N)c(N)c(N)c(C=O)c1(C=C)	-0.2117	-0.07057	3.840344882
Hc1cFcCNcFcCOc1CO_opt.log	c1c(F)c(C#N)c(F)c(C=O)c1(C=O)	-0.27288	-0.12308	4.076267720000001
Hc1cCCcCcCOcCCc1NOO-_opt.log	c1c(C=C)c(C)c(C=O)c(C=C)c1(N(=O)(=O))	-0.25918	-0.0999	4.334231792000001
Hc1cCCcHcCOcCCc1CC_opt.log	c1c(C=C)cc(C=O)c(C=C)c1(C=C)	-0.23858	-0.05995	4.8607723819999995
Hc1cCCcCCcNOO-cFc1NOO-_opt.log	c1c(C=C)c(C=C)c(N(=O)(=O))c(F)c1(N(=O)(=O))	-0.27684	-0.12525	4.124976125999999
Hc1cCOcNcCcOc1CC_opt.log	c1c(C=O)c(N)c(C)c(O)c1(C=C)	-0.20141	-0.03647	4.488248316
Hc1cOcNOO-cCCcNOO-c1CN_opt.log	c1c(O)c(N(=O)(=O))c(C=C)c(N(=O)(=O))c1(C#N)	-0.29439	-0.12588	4.585393014
Hc1cFcFcCCcHc1NOO-_opt.log	c1c(F)c(F)c(C=C)cc1(N(=O)(=O))	-0.27428	-0.1117	4.424029412000001
Hc1cFcCCcOcCOc1F_opt.log	c1c(F)c(C=C)c(O)c(C=O)c1(F)	-0.25428	-0.05885	5.317923902
Hc1cFcNcCCcCCc1F_opt.log	c1c(F)c(N)c(C=C)c(C=C)c1(F)	-0.20202	-0.02985	4.684986738
Hc1cFcNOO-cCCcCCc1CN_opt.log	c1c(F)c(N(=O)(=O))c(C=C)c(C=C)c1(C#N)	-0.27155	-0.11433	4.278176308000001
Hc1cCCcHcCCcHc1CC_opt.log	c1c(C=C)cc(C=C)cc1(C=C)	-0.23422	-0.03447	5.4354771500000005
Hc1cCCcOcCCcOc1CO_opt.log	c1c(C=C)c(O)c(C=C)c(O)c1(C=O)	-0.22292	-0.04432	4.85995604
Hc1cOcNOO-cCNcHc1F_opt.log	c1c(O)c(N(=O)(=O))c(C#N)cc1(F)	-0.28965	-0.10933	4.906759648000001
Hc1cCNcNOO-cHcCCc1CC_opt.log	c1c(C#N)c(N(=O)(=O))cc(C=C)c1(C=C)	-0.27374	-0.11542	4.308108848
Hc1cFcCOcCNcHc1CN_opt.log	c1c(F)c(C=O)c(C#N)cc1(C#N)	-0.29569	-0.12213	4.722810584
Hc1cOcNOO-cCCcNOO-c1O_opt.log	c1c(O)c(N(=O)(=O))c(C=C)c(N(=O)(=O))c1(O)	-0.26613	-0.09573	4.63682256
Hc1cCNcFcCcCCc1CC_opt.log	c1c(C#N)c(F)c(C)c(C=C)c1(C=C)	-0.2539	-0.05636	5.375339956
Hc1cCCcNcFcOc1CC_opt.log	c1c(C=C)c(N)c(F)c(O)c1(C=C)	-0.19622	-0.00661	5.159553554
Hc1cFcCOcFcCOc1CC_opt.log	c1c(F)c(C=O)c(F)c(C=O)c1(C=C)	-0.26804	-0.09333	4.754103694
Hc1cCNcNcCCcHc1NOO-_opt.log	c1c(C#N)c(N)c(C=C)cc1(N(=O)(=O))	-0.24963	-0.09778	4.13205109
Hc1cCCcOcFcOc1NOO-_opt.log	c1c(C=C)c(O)c(F)c(O)c1(N(=O)(=O))	-0.25461	-0.09933	4.225386192
Hc1cFcCOcCOcCc1CO_opt.log	c1c(F)c(C=O)c(C=O)c(C)c1(C=O)	-0.25927	-0.11139	4.024021832000001
Hc1cOcNOO-cCNcNc1CO_opt.log	c1c(O)c(N(=O)(=O))c(C#N)c(N)c1(C=O)	-0.23985	-0.11786	3.3195186860000003
Hc1cCCcCcCcCCc1NOO-_opt.log	c1c(C=C)c(C)c(C)c(C=C)c1(N(=O)(=O))	-0.25191	-0.08701	4.487159860000001
Hc1cFcCNcOcCCc1NOO-_opt.log	c1c(F)c(C#N)c(O)c(C=C)c1(N(=O)(=O))	-0.26432	-0.12114	3.896128252
Hc1cCCcCcCNcCOc1CO_opt.log	c1c(C=C)c(C)c(C#N)c(C=O)c1(C=O)	-0.26014	-0.09544	4.48171758
Hc1cCNcCcFcNc1CC_opt.log	c1c(C#N)c(C)c(F)c(N)c1(C=C)	-0.22142	-0.03418	5.095062536
Hc1cFcCOcCNcOc1CO_opt.log	c1c(F)c(C=O)c(C#N)c(O)c1(C=O)	-0.28143	-0.12158	4.349742290000001
Hc1cFcNcNOO-cCNc1NOO-_opt.log	c1c(F)c(N)c(N(=O)(=O))c(C#N)c1(N(=O)(=O))	-0.28068	-0.13327	4.011232474
Hc1cFcOcCcCNc1F_opt.log	c1c(F)c(O)c(C)c(C#N)c1(F)	-0.25518	-0.05035	5.573711062000001
Hc1cOcNOO-cCOcCc1F_opt.log	c1c(O)c(N(=O)(=O))c(C=O)c(C)c1(F)	-0.27183	-0.11578	4.246338970000001
Hc1cFcNcCcCc1CO_opt.log	c1c(F)c(N)c(C)c(C)c1(C=O)	-0.21557	-0.04387	4.672197380000001
Hc1cFcNOO-cCNcOc1CO_opt.log	c1c(F)c(N(=O)(=O))c(C#N)c(O)c1(C=O)	-0.29231	-0.13988	4.147833702000001
Hc1cCCcFcFcCc1NOO-_opt.log	c1c(C=C)c(F)c(F)c(C)c1(N(=O)(=O))	-0.26619	-0.10465	4.395729555999999
Hc1cFcNcCCcCOc1F_opt.log	c1c(F)c(N)c(C=C)c(C=O)c1(F)	-0.21607	-0.06197	4.193276740000001
Hc1cCOcHcCOcFc1CC_opt.log	c1c(C=O)cc(C=O)c(F)c1(C=C)	-0.26699	-0.08581	4.930161452
Hc1cFcCNcCOcHc1CO_opt.log	c1c(F)c(C#N)c(C=O)cc1(C=O)	-0.29124	-0.11845	4.7018578060000005
Hc1cCCcFcCcFc1NOO-_opt.log	c1c(C=C)c(F)c(C)c(F)c1(N(=O)(=O))	-0.26305	-0.10184	4.386749794000001
Hc1cCCcNcCNcNc1CO_opt.log	c1c(C=C)c(N)c(C#N)c(N)c1(C=O)	-0.21742	-0.04822	4.6041688800000005
Hc1cFcNcCNcNc1F_opt.log	c1c(F)c(N)c(C#N)c(N)c1(F)	-0.20336	-0.03341	4.62457743
Hc1cFcNcCOcHc1CC_opt.log	c1c(F)c(N)c(C=O)cc1(C=C)	-0.21183	-0.05661	4.223753508
Hc1cFcCcOcCNc1F_opt.log	c1c(F)c(C)c(O)c(C#N)c1(F)	-0.26645	-0.04186	6.111408326
Hc1cCNcOcFcNc1CC_opt.log	c1c(C#N)c(O)c(F)c(N)c1(C=C)	-0.22388	-0.02776	5.336699768
Hc1cFcCNcCNcCCc1CO_opt.log	c1c(F)c(C#N)c(C#N)c(C=C)c1(C=O)	-0.2812	-0.11587	4.4988607620000005
Hc1cFcCCcNOO-cCc1NOO-_opt.log	c1c(F)c(C=C)c(N(=O)(=O))c(C)c1(N(=O)(=O))	-0.28271	-0.12082	4.405253546000001
Hc1cFcCCcNcCc1CN_opt.log	c1c(F)c(C=C)c(N)c(C)c1(C#N)	-0.22391	-0.04615	4.837098464
Hc1cFcCCcCCcNOO-c1CO_opt.log	c1c(F)c(C=C)c(C=C)c(N(=O)(=O))c1(C=O)	-0.27082	-0.10727	4.450424470000001
Hc1cFcCCcCNcCc1CO_opt.log	c1c(F)c(C=C)c(C#N)c(C)c1(C=O)	-0.26821	-0.0867	4.939141214
Hc1cFcHcCOcHc1F_opt.log	c1c(F)cc(C=O)cc1(F)	-0.28213	-0.07955	5.512485411999999
Hc1cFcNcCCcCOc1CN_opt.log	c1c(F)c(N)c(C=C)c(C=O)c1(C#N)	-0.23427	-0.07343	4.376681576
CCc1cCNcNcFcOc1CN_opt.log	C=Cc1c(C#N)c(N)c(F)c(O)c1(C#N)	-0.24417	-0.05396	5.175880394
CCc1cNcNOO-cCCcCNc1F_opt.log	C=Cc1c(N)c(N(=O)(=O))c(C=C)c(C#N)c1(F)	-0.2468	-0.10619	3.8261949539999995
CCc1cNcFcNOO-cCNc1NOO-_opt.log	C=Cc1c(N)c(F)c(N(=O)(=O))c(C#N)c1(N(=O)(=O))	-0.26233	-0.12529	3.729050256
Nc1cFcNcCOcCOc1CO_opt.log	Nc1c(F)c(N)c(C=O)c(C=O)c1(C=O)	-0.23539	-0.08455	4.104567575999999
NCc1cFcFcNcNOO-c1F_opt.log	N#Cc1c(F)c(F)c(N)c(N(=O)(=O))c1(F)	-0.26871	-0.11917	4.0691927560000005
CCc1cNcCOcCOcOc1F_opt.log	C=Cc1c(N)c(C=O)c(C=O)c(O)c1(F)	-0.21818	-0.08441	3.640068978
CCc1cNcNOO-cOcNOO-c1CC_opt.log	C=Cc1c(N)c(N(=O)(=O))c(O)c(N(=O)(=O))c1(C=C)	-0.24303	-0.11356	3.523059958
CCc1cFcNOO-cCOcNc1CN_opt.log	C=Cc1c(F)c(N(=O)(=O))c(C=O)c(N)c1(C#N)	-0.25475	-0.12504	3.529590693999999
CCc1cNcCOcNOO-cNOO-c1NOO-_opt.log	C=Cc1c(N)c(C=O)c(N(=O)(=O))c(N(=O)(=O))c1(N(=O)(=O))	-0.2727	-0.13776	3.6719063160000003
CCc1cOcCOcNcCNc1CC_opt.log	C=Cc1c(O)c(C=O)c(N)c(C#N)c1(C=C)	-0.22855	-0.06056	4.571243086
CCc1cNcFcCNcNc1CN_opt.log	C=Cc1c(N)c(F)c(C#N)c(N)c1(C#N)	-0.21029	-0.06329	4.0000758
CCc1cFcNOO-cNcCOc1CO_opt.log	C=Cc1c(F)c(N(=O)(=O))c(N)c(C=O)c1(C=O)	-0.24528	-0.11826	3.456392028
CCc1cCNcFcNcCOc1NOO-_opt.log	C=Cc1c(C#N)c(F)c(N)c(C=O)c1(N(=O)(=O))	-0.25053	-0.11745	3.6212931119999996
CCc1cNcNOO-cCOcOc1O_opt.log	C=Cc1c(N)c(N(=O)(=O))c(C=O)c(O)c1(O)	-0.22266	-0.07821	3.93068673
NCc1cNcNOO-cOcOc1F_opt.log	N#Cc1c(N)c(N(=O)(=O))c(O)c(O)c1(F)	-0.23645	-0.09609	3.819392104
NCc1cNcCOcCNcFc1CN_opt.log	N#Cc1c(N)c(C=O)c(C#N)c(F)c1(C#N)	-0.27218	-0.13183	3.8191199899999995
NCc1cNcCNcOcCOc1N_opt.log	N#Cc1c(N)c(C#N)c(O)c(C=O)c1(N)	-0.24618	-0.06888	4.824581220000001
NCc1cNcCOcOcCNc1NOO-_opt.log	N#Cc1c(N)c(C=O)c(O)c(C#N)c1(N(=O)(=O))	-0.27438	-0.13413	3.8163988500000006
NCc1cNcCOcNOO-cNc1CO_opt.log	N#Cc1c(N)c(C=O)c(N(=O)(=O))c(N)c1(C=O)	-0.2304	-0.12508	2.865904648
NCc1cOcFcNcFc1CO_opt.log	N#Cc1c(O)c(F)c(N)c(F)c1(C=O)	-0.24417	-0.08284	4.390015162
CCc1cOcCNcCNcNc1CO_opt.log	C=Cc1c(O)c(C#N)c(C#N)c(N)c1(C=O)	-0.23148	-0.09432	3.7323156240000004
CCc1cNcNOO-cNcCNc1CN_opt.log	C=Cc1c(N)c(N(=O)(=O))c(N)c(C#N)c1(C#N)	-0.23884	-0.11451	3.383193362
CCc1cCOcFcNcCOc1CO_opt.log	C=Cc1c(C=O)c(F)c(N)c(C=O)c1(C=O)	-0.24095	-0.09278	4.031913138
NCc1cOcCOcNOO-cNc1CO_opt.log	N#Cc1c(O)c(C=O)c(N(=O)(=O))c(N)c1(C=O)	-0.25193	-0.12639	3.4161191559999997
CCc1cOcFcCOcNc1CO_opt.log	C=Cc1c(O)c(F)c(C=O)c(N)c1(C=O)	-0.21637	-0.06989	3.985925872
CCc1cFcNcFcOc1NOO-_opt.log	C=Cc1c(F)c(N)c(F)c(O)c1(N(=O)(=O))	-0.23481	-0.07655	4.306476163999999
NCc1cNcCOcFcCOc1F_opt.log	N#Cc1c(N)c(C=O)c(F)c(C=O)c1(F)	-0.26889	-0.08857	4.906759648000001
CCc1cFcNcCOcFc1CN_opt.log	C=Cc1c(F)c(N)c(C=O)c(F)c1(C#N)	-0.2461	-0.08048	4.506752068000001
CCc1cNOO-cNcFcNc1NOO-_opt.log	C=Cc1c(N(=O)(=O))c(N)c(F)c(N)c1(N(=O)(=O))	-0.24608	-0.09813	4.02592663
NCc1cNcCOcOcCOc1O_opt.log	N#Cc1c(N)c(C=O)c(O)c(C=O)c1(O)	-0.24027	-0.07183	4.583488216
CCc1cFcCOcNcCOc1CN_opt.log	C=Cc1c(F)c(C=O)c(N)c(C=O)c1(C#N)	-0.24199	-0.09862	3.901298418
CCc1cNcNOO-cCNcCCc1CO_opt.log	C=Cc1c(N)c(N(=O)(=O))c(C#N)c(C=C)c1(C=O)	-0.2401	-0.11337	3.4485007220000004
NCc1cNcFcFcCOc1O_opt.log	N#Cc1c(N)c(F)c(F)c(C=O)c1(O)	-0.24903	-0.06519	5.002543776
CCc1cNcCCcNOO-cFc1F_opt.log	C=Cc1c(N)c(C=C)c(N(=O)(=O))c(F)c1(F)	-0.22667	-0.09685	3.532583948
CCc1cNcCNcNOO-cNOO-c1NOO-_opt.log	C=Cc1c(N)c(C#N)c(N(=O)(=O))c(N(=O)(=O))c1(N(=O)(=O))	-0.27607	-0.1425	3.634626698
NCc1cOcNOO-cNOO-cNc1CO_opt.log	N#Cc1c(O)c(N(=O)(=O))c(N(=O)(=O))c(N)c1(C=O)	-0.26243	-0.14581	3.173393468
CCc1cCNcFcCNcNc1NOO-_opt.log	C=Cc1c(C#N)c(F)c(C#N)c(N)c1(N(=O)(=O))	-0.27092	-0.12204	4.051233232
CCc1cOcCOcNOO-cNc1CN_opt.log	C=Cc1c(O)c(C=O)c(N(=O)(=O))c(N)c1(C#N)	-0.24167	-0.10797	3.63816418
NCc1cFcNcCOcOc1NOO-_opt.log	N#Cc1c(F)c(N)c(C=O)c(O)c1(N(=O)(=O))	-0.26488	-0.11053	4.20007959
CCc1cNcNOO-cFcOc1O_opt.log	C=Cc1c(N)c(N(=O)(=O))c(F)c(O)c1(O)	-0.21933	-0.08171	3.744832868
CCc1cNcFcNOO-cOc1NOO-_opt.log	C=Cc1c(N)c(F)c(N(=O)(=O))c(O)c1(N(=O)(=O))	-0.23189	-0.11768	3.1078139940000002
Nc1cFcOcNOO-cFc1F_opt.log	Nc1c(F)c(O)c(N(=O)(=O))c(F)c1(F)	-0.2498	-0.08333	4.529881758
CCc1cNcCCcCOcCOc1CO_opt.log	C=Cc1c(N)c(C=C)c(C=O)c(C=O)c1(C=O)	-0.231	-0.08278	4.033273708
CCc1cNOO-cNcCOcNc1NOO-_opt.log	C=Cc1c(N(=O)(=O))c(N)c(C=O)c(N)c1(N(=O)(=O))	-0.26091	-0.10055	4.363620104
NCc1cOcFcNcNOO-c1O_opt.log	N#Cc1c(O)c(F)c(N)c(N(=O)(=O))c1(O)	-0.24756	-0.09393	4.180487382
CCc1cCOcNcFcNc1NOO-_opt.log	C=Cc1c(C=O)c(N)c(F)c(N)c1(N(=O)(=O))	-0.23344	-0.09097	3.8768081580000007
CCc1cNcCOcCCcCOc1O_opt.log	C=Cc1c(N)c(C=O)c(C=C)c(C=O)c1(O)	-0.22396	-0.05153	4.692061702
NCc1cOcCNcFcNc1F_opt.log	N#Cc1c(O)c(C#N)c(F)c(N)c1(F)	-0.23499	-0.0707	4.470560906
NCc1cNcNOO-cCOcNc1CO_opt.log	N#Cc1c(N)c(N(=O)(=O))c(C=O)c(N)c1(C=O)	-0.22963	-0.1262	2.814475102
CCc1cFcNOO-cNcCOc1CC_opt.log	C=Cc1c(F)c(N(=O)(=O))c(N)c(C=O)c1(C=C)	-0.23409	-0.09774	3.71027439
CCc1cNcNOO-cOcNOO-c1O_opt.log	C=Cc1c(N)c(N(=O)(=O))c(O)c(N(=O)(=O))c1(O)	-0.24768	-0.11126	3.7121791880000004
CCc1cFcCOcNcCOc1F_opt.log	C=Cc1c(F)c(C=O)c(N)c(C=O)c1(F)	-0.23335	-0.07195	4.39191996
NCc1cNcFcFcNOO-c1NOO-_opt.log	N#Cc1c(N)c(F)c(F)c(N(=O)(=O))c1(N(=O)(=O))	-0.28097	-0.13551	3.958170244
CCc1cFcNcCNcCCc1F_opt.log	C=Cc1c(F)c(N)c(C#N)c(C=C)c1(F)	-0.22622	-0.05896	4.551378764000001
CCc1cNcCOcCOcCCc1CN_opt.log	C=Cc1c(N)c(C=O)c(C=O)c(C=C)c1(C#N)	-0.23258	-0.0883	3.926060792000001
