File	SMILES	HOMO (Ha)	LUMO (Ha)	GAP (eV)
Hc1cNcCOcHcCNc1O_opt.log	c1c(N)c(C=O)cc(C#N)c1(O)	-0.2346	-0.05726	4.825669676
Hc1cNcFcCCcFc1O_opt.log	c1c(N)c(F)c(C=C)c(F)c1(O)	-0.2009	-0.01699	5.0044485739999995
Hc1cNcCcOcCCc1CC_opt.log	c1c(N)c(C)c(O)c(C=C)c1(C=C)	-0.18635	-0.00125	5.03683014
Hc1cOcHcCNcHc1O_opt.log	c1c(O)cc(C#N)cc1(O)	-0.24839	-0.04021	5.664869252
Hc1cNcCOcOcNOO-c1CC_opt.log	c1c(N)c(C=O)c(O)c(N(=O)(=O))c1(C=C)	-0.25177	-0.09384	4.297496402
Hc1cNcCOcOcFc1O_opt.log	c1c(N)c(C=O)c(O)c(F)c1(O)	-0.2159	-0.03507	4.920637462000001
Hc1cNcNOO-cCOcCc1F_opt.log	c1c(N)c(N(=O)(=O))c(C=O)c(C)c1(F)	-0.24472	-0.0925	4.142119308
Hc1cNcCCcOcCc1O_opt.log	c1c(N)c(C=C)c(O)c(C)c1(O)	-0.18763	0.01612	5.54432275
Hc1cNcCOcCNcNOO-c1NOO-_opt.log	c1c(N)c(C=O)c(C#N)c(N(=O)(=O))c1(N(=O)(=O))	-0.28069	-0.14335	3.737213676
Hc1cNcCcCcCOc1CN_opt.log	c1c(N)c(C)c(C)c(C=O)c1(C#N)	-0.23429	-0.05705	4.822948536
Hc1cCcNOO-cCOcCc1CC_opt.log	c1c(C)c(N(=O)(=O))c(C=O)c(C)c1(C=C)	-0.26381	-0.09113	4.698864552
Hc1cNcNcFcOc1CC_opt.log	c1c(N)c(N)c(F)c(O)c1(C=C)	-0.18606	-0.00348	4.968257412
Hc1cNcCOcNOO-cHc1F_opt.log	c1c(N)c(C=O)c(N(=O)(=O))cc1(F)	-0.24725	-0.11266	3.662382326
Hc1cNcCCcCcCCc1CC_opt.log	c1c(N)c(C=C)c(C)c(C=C)c1(C=C)	-0.1922	-0.02008	4.683626168
Hc1cOcHcOcNOO-c1O_opt.log	c1c(O)cc(O)c(N(=O)(=O))c1(O)	-0.2507	-0.10125	4.06674373
Hc1cNcOcHcCOc1CN_opt.log	c1c(N)c(O)cc(C=O)c1(C#N)	-0.22613	-0.06404	4.410695826
Hc1cCcNOO-cCOcCc1N_opt.log	c1c(C)c(N(=O)(=O))c(C=O)c(C)c1(N)	-0.23818	-0.07717	4.3813075139999995
Hc1cNcCcCOcCCc1CO_opt.log	c1c(N)c(C)c(C=O)c(C=C)c1(C=O)	-0.22103	-0.06239	4.316816496
Hc1cNcCOcCcCNc1O_opt.log	c1c(N)c(C=O)c(C)c(C#N)c1(O)	-0.23068	-0.05625	4.746484502
Hc1cCcNOO-cCNcCNc1NOO-_opt.log	c1c(C)c(N(=O)(=O))c(C#N)c(C#N)c1(N(=O)(=O))	-0.32679	-0.15946	4.553283562000001
Hc1cNcOcCOcCNc1F_opt.log	c1c(N)c(O)c(C=O)c(C#N)c1(F)	-0.22772	-0.07952	4.03272948
Hc1cFcCCcHcNc1CN_opt.log	c1c(F)c(C=C)cc(N)c1(C#N)	-0.22281	-0.05737	4.501854016
Hc1cNcOcCcCNc1F_opt.log	c1c(N)c(O)c(C)c(C#N)c1(F)	-0.21304	-0.02417	5.139417118000001
Hc1cNcNOO-cFcFc1CN_opt.log	c1c(N)c(N(=O)(=O))c(F)c(F)c1(C#N)	-0.25629	-0.11941	3.724696432
Hc1cNcFcCCcNOO-c1N_opt.log	c1c(N)c(F)c(C=C)c(N(=O)(=O))c1(N)	-0.21696	-0.08026	3.71979838
Hc1cCcNOO-cCNcOc1CN_opt.log	c1c(C)c(N(=O)(=O))c(C#N)c(O)c1(C#N)	-0.2884	-0.12925	4.33069431
Hc1cOcHcNOO-cOc1CO_opt.log	c1c(O)cc(N(=O)(=O))c(O)c1(C=O)	-0.2515	-0.11172	3.8036094920000005
Hc1cNcNOO-cFcCOc1CO_opt.log	c1c(N)c(N(=O)(=O))c(F)c(C=O)c1(C=O)	-0.26084	-0.11811	3.8838831220000007
Hc1cNcNOO-cHcNc1NOO-_opt.log	c1c(N)c(N(=O)(=O))cc(N)c1(N(=O)(=O))	-0.2117	-0.11835	2.54018419
Hc1cNcNOO-cNOO-cCNc1CC_opt.log	c1c(N)c(N(=O)(=O))c(N(=O)(=O))c(C#N)c1(C=C)	-0.26697	-0.12534	3.8539505819999995
Hc1cCcNOO-cCOcFc1CC_opt.log	c1c(C)c(N(=O)(=O))c(C=O)c(F)c1(C=C)	-0.26955	-0.10393	4.506752068000001
Hc1cNcOcOcFc1CN_opt.log	c1c(N)c(O)c(O)c(F)c1(C#N)	-0.21159	-0.02563	5.060231944000001
Hc1cCcNOO-cCNcCNc1N_opt.log	c1c(C)c(N(=O)(=O))c(C#N)c(C#N)c1(N)	-0.26814	-0.10739	4.37423255
Hc1cNcFcNcCOc1F_opt.log	c1c(N)c(F)c(N)c(C=O)c1(F)	-0.21598	-0.03695	4.871656942
Hc1cNcNOO-cOcCNc1CN_opt.log	c1c(N)c(N(=O)(=O))c(O)c(C#N)c1(C#N)	-0.26213	-0.12869	3.6310892159999995
Hc1cNcFcCOcNOO-c1F_opt.log	c1c(N)c(F)c(C=O)c(N(=O)(=O))c1(F)	-0.25169	-0.101	4.1004858660000005
Hc1cNcNOO-cCOcCc1CN_opt.log	c1c(N)c(N(=O)(=O))c(C=O)c(C)c1(C#N)	-0.255	-0.10726	4.020212236000001
Hc1cNcCNcCOcCc1O_opt.log	c1c(N)c(C#N)c(C=O)c(C)c1(O)	-0.22788	-0.06917	4.318721294
Hc1cNcNOO-cCOcCOc1CC_opt.log	c1c(N)c(N(=O)(=O))c(C=O)c(C=O)c1(C=C)	-0.25494	-0.11133	3.9078291540000007
Hc1cNcFcNOO-cNc1CN_opt.log	c1c(N)c(F)c(N(=O)(=O))c(N)c1(C#N)	-0.212	-0.1016	3.00413856
Hc1cNcFcHcFc1O_opt.log	c1c(N)c(F)cc(F)c1(O)	-0.20166	0.00747	5.690720082
Hc1cNcFcCNcCOc1O_opt.log	c1c(N)c(F)c(C#N)c(C=O)c1(O)	-0.24282	-0.07288	4.624305316
Hc1cNcNcCcNOO-c1NOO-_opt.log	c1c(N)c(N)c(C)c(N(=O)(=O))c1(N(=O)(=O))	-0.22985	-0.09586	3.6460554860000003
Hc1cOcHcNOO-cNOO-c1F_opt.log	c1c(O)cc(N(=O)(=O))c(N(=O)(=O))c1(F)	-0.28632	-0.13052	4.23953612
Hc1cNcOcOcCc1O_opt.log	c1c(N)c(O)c(O)c(C)c1(O)	-0.19087	0.04316	6.368283942000001
Hc1cNcNOO-cCCcOc1NOO-_opt.log	c1c(N)c(N(=O)(=O))c(C=C)c(O)c1(N(=O)(=O))	-0.22732	-0.12127	2.88576897
Hc1cNcFcCcNOO-c1O_opt.log	c1c(N)c(F)c(C)c(N(=O)(=O))c1(O)	-0.22883	-0.07053	4.30756462
Hc1cNcNOO-cNcFc1F_opt.log	c1c(N)c(N(=O)(=O))c(N)c(F)c1(F)	-0.21635	-0.0934	3.34564163
Hc1cNcCNcOcCOc1O_opt.log	c1c(N)c(C#N)c(O)c(C=O)c1(O)	-0.24204	-0.04813	5.276562574000001
Hc1cNcCcNOO-cCc1O_opt.log	c1c(N)c(C)c(N(=O)(=O))c(C)c1(O)	-0.21157	-0.08199	3.5260532120000008
